"YEAR","CASEID","SERIAL","STRATA","PERNUM","LINENO","WT06","AGE","SEX","RACE","AGE_CPS8","BMI","EDUC","OCC2_CPS8","IND2_CPS8","EARNWEEK","ACT_CAREHH","ACT_CARENHH","ACT_EDUC","ACT_FOOD","ACT_GOVSERV","ACT_HHACT","ACT_HHSERV","ACT_PCARE","ACT_PHONE","ACT_PROFSERV","ACT_PURCH","ACT_RELIG","ACT_SOCIAL","ACT_SPORTS","ACT_TRAVEL","ACT_VOL","ACT_WORK"
2022,20220403222174,2712,,1,1,4658082.853224000,67,1,100,67,33.700,40,9999,9999,99999.99,0,0,0,40,0,345,0,555,0,0,0,0,485,0,0,15,0
2022,20220403222179,2713,,1,1,5404179.207282000,60,1,100,60,28.200,40,170,120,2307.0,0,0,0,90,0,615,0,455,0,0,30,0,240,0,10,0,0
2022,20220403222207,2714,,1,1,24563515.53357000,29,1,202,29,999.00,21,150,200,960.0,0,0,0,60,0,120,0,630,0,0,0,0,135,0,0,0,495
2022,20220403222210,2715,,1,1,10268902.32664300,54,2,100,54,27.100,41,9999,9999,99999.99,0,0,0,90,0,330,0,630,0,15,135,0,180,0,60,0,0
2022,20220403222213,2716,,1,1,23356764.22898400,27,2,131,27,22.200,40,120,220,1153.84,0,0,95,115,0,25,0,550,0,0,30,0,40,40,60,0,485
2022,20220403222214,2717,,1,1,11229754.62538200,68,1,100,67,30.700,17,190,160,99999.99,0,0,0,50,0,53,0,617,0,85,0,0,570,55,10,0,0
2022,20220403222218,2718,,1,1,6018490.216211000,45,1,100,45,29.000,40,120,133,1759.61,10,0,0,60,0,90,0,450,0,0,0,0,270,0,75,0,485
2022,20220403222219,2719,,1,1,8008315.369248000,32,1,100,32,24.400,30,120,201,1923.07,0,0,0,120,0,0,0,570,0,0,20,0,300,0,30,0,400
2022,20220403222224,2720,,1,1,6571805.783997000,59,1,100,59,24.100,43,9999,9999,99999.99,0,0,0,120,0,375,0,480,0,0,60,0,405,0,0,0,0
2022,20220403222225,2721,,1,1,12865807.22327300,29,1,100,29,29.600,40,131,300,2346.15,0,0,0,30,0,20,0,315,0,0,0,0,70,0,90,0,915
2022,20220403222228,2722,,1,1,4592889.702163000,68,2,110,68,31.900,30,9999,9999,99999.99,0,5,0,20,0,330,0,690,0,0,45,0,235,95,20,0,0
2022,20220403222230,2723,,1,1,2960037.262542000,52,2,100,51,26.900,31,200,170,99999.99,195,0,0,25,0,105,0,580,0,0,0,140,385,0,10,0,0
2022,20220403222231,2724,,1,1,21759917.92664800,39,1,131,39,22.500,40,126,220,99999.99,0,0,0,40,0,60,0,610,0,0,0,0,230,15,0,0,485
2022,20220403222233,2725,,1,1,17318535.25916200,70,2,100,70,45.300,20,9999,9999,99999.99,0,0,0,30,0,0,0,600,0,0,0,120,690,0,0,0,0
2022,20220403222235,2726,,1,1,17657854.09649400,35,2,131,35,24.800,41,150,292,1153.84,0,0,0,150,0,0,0,595,0,60,1,0,60,175,133,0,266
2022,20220403222236,2727,,1,1,17074349.62041500,50,2,100,50,32.800,32,150,220,865.2,0,0,0,150,0,22,0,562,0,0,0,0,150,11,0,0,545
2022,20220403222240,2728,,1,1,18143937.32868600,31,2,100,31,21.300,40,123,251,730.76,0,0,0,120,0,0,0,465,0,0,0,0,270,0,75,0,510
2022,20220403222250,2729,,1,1,10761916.32363600,68,2,100,68,32.300,40,127,240,99999.99,0,0,0,65,0,625,0,495,30,0,0,0,225,0,0,0,0
2022,20220403222251,2730,,1,1,15044607.70231700,64,1,100,64,29.900,20,9999,9999,99999.99,0,0,0,42,0,480,0,660,0,0,0,0,258,0,0,0,0
2022,20220403222262,2731,,1,1,17630931.19738200,80,2,100,80,21.400,21,9999,9999,99999.99,0,0,0,85,0,145,0,540,0,0,0,0,550,120,0,0,0
2022,20220403222275,2732,,1,1,4562127.963739000,57,2,100,57,28.300,40,110,150,2884.61,0,0,0,120,0,340,0,650,0,0,150,0,150,0,30,0,0
2022,20220403222280,2733,,1,1,24760445.51411000,52,1,110,52,27.100,30,200,170,2000.0,10,0,0,60,0,630,0,610,0,0,5,0,60,0,20,0,0
2022,20220403222285,2734,,1,1,31878835.15960100,54,1,100,54,35.000,32,190,131,99999.99,0,0,780,90,0,0,0,330,0,0,0,30,90,0,120,0,0
2022,20220403222293,2735,,1,1,14094091.63020700,68,2,110,68,40.600,30,9999,9999,99999.99,15,0,0,5,0,3,0,720,0,0,20,0,567,0,110,0,0
2022,20220403222301,2736,,1,1,11033816.63977200,72,1,100,72,22.500,41,9999,9999,99999.99,0,0,0,20,0,15,0,559,0,0,65,0,720,0,61,0,0
2022,20220403222316,2737,,1,1,11325592.39249600,29,2,100,29,26.600,32,9999,9999,1102.68,145,0,0,50,0,200,0,570,0,5,10,0,335,8,57,0,0
2022,20220403222319,2738,,1,1,12058254.82524900,58,1,100,58,20.100,40,9999,9999,99999.99,0,240,0,65,0,460,0,545,0,0,60,0,0,0,70,0,0
2022,20220403222322,2739,,1,1,8929187.088415000,71,2,210,71,999.00,13,9999,9999,99999.99,0,0,0,0,0,0,0,600,0,0,0,0,840,0,0,0,0
2022,20220403222328,2740,,1,1,2357829.665883000,50,2,100,50,20.700,30,9999,9999,99999.99,82,0,0,45,0,227,0,625,0,0,0,126,50,0,240,0,0
2022,20220403222332,2741,,1,1,10816957.30688100,67,2,100,67,39.900,43,110,190,99999.99,0,5,0,45,0,110,0,599,20,0,15,0,480,20,26,0,120
2022,20220403222333,2742,,1,1,9082831.596975000,65,2,100,64,24.800,21,110,200,99999.99,0,0,0,150,0,510,0,600,0,0,0,0,180,0,0,0,0
2022,20220403222341,2743,,1,1,6765943.645675000,70,1,110,70,27.200,30,190,135,2884.61,0,0,0,30,0,240,0,660,0,0,0,0,510,0,0,0,0
2022,20220403222342,2744,,1,1,21663325.23741900,48,1,100,48,32.800,21,180,180,1674.0,0,0,0,75,0,220,0,410,0,0,0,0,220,0,20,0,495
2022,20220403222350,2745,,1,1,4495004.399892000,74,2,100,73,31.300,30,9999,9999,99999.99,0,0,0,70,0,50,0,690,0,0,31,0,569,0,30,0,0
2022,20220403222352,2746,,1,1,13770281.27500100,37,2,100,36,998.00,41,110,292,1769.23,160,0,0,45,0,60,0,650,0,0,15,0,0,0,75,60,375
2022,20220403222356,2747,,1,1,5112282.232554000,69,2,100,68,21.300,41,9999,9999,99999.99,5,105,0,105,0,20,0,410,0,0,0,0,615,30,150,0,0
2022,20220403222362,2748,,1,1,19260748.21157900,32,1,100,31,30.300,21,140,160,1153.84,0,0,0,60,0,130,0,570,0,0,0,0,240,0,160,0,280
2022,20220403222367,2749,,1,1,11439953.44030300,37,2,100,36,20.800,31,150,220,99999.99,25,0,0,65,0,279,0,575,0,0,170,5,139,0,36,0,0
2022,20220403222368,2750,,1,1,18212297.13075800,67,2,100,67,23.000,21,9999,9999,99999.99,0,0,0,70,0,178,0,445,0,15,60,0,607,0,65,0,0
2022,20220403222369,2751,,1,1,8730301.390906000,74,1,110,74,33.500,41,123,292,750.0,0,0,0,120,0,0,0,680,0,0,120,0,420,60,40,0,0
2022,20220403222370,2752,,1,1,5284933.050482000,36,2,131,36,21.400,41,110,251,99999.99,58,0,0,210,0,130,0,597,0,0,40,0,180,60,45,0,0
2022,20220403222372,2753,,1,1,5001078.023843000,68,2,100,68,998.00,15,9999,9999,99999.99,0,0,0,20,0,60,0,480,0,0,0,0,880,0,0,0,0
2022,20220403222375,2754,,1,1,5301545.520970000,72,1,100,72,34.400,32,9999,9999,99999.99,0,0,0,110,0,270,0,510,0,0,0,0,550,0,0,0,0
2022,20220403222380,2755,,1,1,6675485.519848000,78,2,100,78,33.100,31,9999,9999,99999.99,0,0,0,90,0,415,0,450,0,0,90,0,295,70,30,0,0
2022,20220403222384,2756,,1,1,10960172.78871400,31,1,100,31,32.400,41,111,220,2884.61,0,0,0,210,0,0,0,660,0,0,0,0,180,0,330,0,0
2022,20220403222390,2757,,1,1,3750967.629738000,73,1,100,73,29.500,41,126,192,138.46,0,0,0,45,0,360,0,343,0,0,10,60,600,0,22,0,0
2022,20220403222392,2758,,1,1,6673275.525692000,80,2,100,80,17.600,21,9999,9999,99999.99,0,0,0,90,0,0,0,722,60,0,0,0,568,0,0,0,0
2022,20220403222397,2759,,1,1,12972416.14935600,71,1,110,71,35.900,30,9999,9999,99999.99,0,0,0,40,0,120,0,480,0,0,30,0,740,0,30,0,0
2022,20220403222401,2760,,1,1,15367405.93855100,73,1,100,73,37.300,21,9999,9999,99999.99,0,0,0,45,0,95,0,450,0,0,0,0,850,0,0,0,0
2022,20220403222405,2761,,1,1,2450046.112913000,76,2,100,76,26.100,30,9999,9999,99999.99,30,0,0,30,0,180,0,600,0,0,0,0,120,0,480,0,0
2022,20220403222410,2762,,1,1,3644571.442736000,43,1,100,42,20.700,40,110,200,1915.38,45,0,0,60,0,181,0,645,0,0,30,90,375,0,14,0,0
2022,20220403222418,2763,,1,1,10030966.36351900,75,1,100,75,30.400,41,9999,9999,99999.99,0,0,0,45,0,140,0,570,0,0,0,0,685,0,0,0,0
2022,20220403222422,2764,,1,1,12658913.52483700,35,2,100,35,27.000,41,130,252,1200.0,0,0,0,5,0,208,0,520,0,0,0,0,117,0,20,0,570
2022,20220403222438,2765,,1,1,12178726.61936500,36,2,100,36,22.600,41,9999,9999,99999.99,225,0,0,150,0,215,0,535,30,0,0,0,120,145,20,0,0
2022,20220403222448,2766,,1,1,14936548.18118300,63,2,100,63,20.500,41,9999,9999,99999.99,0,0,0,75,0,80,0,660,30,0,180,0,400,0,15,0,0
2022,20220403222449,2767,,1,1,13831503.33814500,29,2,100,29,23.900,41,125,240,961.53,0,0,0,45,0,50,0,625,0,0,30,0,135,0,75,0,480
2022,20220403222454,2768,,1,1,4722251.036671000,70,2,131,70,17.800,41,9999,9999,99999.99,0,0,0,55,0,18,0,480,0,0,0,0,812,75,0,0,0
2022,20220403222460,2769,,1,1,3971718.325857000,70,2,100,70,32.300,41,127,251,1650.0,0,0,0,30,0,0,0,495,0,0,0,0,105,0,85,0,725
2022,20220403222461,2770,,1,1,4511357.073068000,76,1,100,76,29.500,41,9999,9999,99999.99,0,315,0,135,0,0,0,800,0,0,0,0,120,0,10,0,0
2022,20220403222466,2771,,1,1,10573354.01361900,29,1,100,28,23.700,40,110,130,1576.92,0,0,0,120,0,0,0,690,0,0,0,0,580,0,50,0,0
2022,20220403222468,2772,,1,1,4551495.802812000,67,2,100,67,24.200,40,9999,9999,99999.99,0,0,0,60,0,130,0,570,0,0,60,0,500,30,85,5,0
2022,20220403222471,2773,,1,1,7851331.726658000,74,2,100,74,23.700,21,9999,9999,99999.99,0,0,0,240,0,0,0,420,0,0,0,0,660,0,120,0,0
2022,20220403222487,2774,,1,1,15499828.81706400,31,2,100,31,20.500,31,9999,9999,99999.99,135,0,0,120,0,355,0,450,0,0,0,0,120,110,0,0,0
2022,20220403222492,2775,,1,1,10697506.68956700,32,2,100,32,22.100,41,123,240,1596.15,0,0,0,150,0,265,0,545,0,0,0,0,375,50,55,0,0
2022,20220403222493,2776,,1,1,3737186.901209000,80,1,100,80,32.500,21,9999,9999,99999.99,0,0,0,30,0,10,0,600,0,0,185,90,383,0,142,0,0
2022,20220403222506,2777,,1,1,15573342.76975100,80,2,100,80,22.700,13,9999,9999,99999.99,0,0,0,30,0,370,0,545,30,0,45,0,210,0,30,180,0
2022,20220403222507,2778,,1,1,22980363.21301200,18,1,100,18,998.00,30,9999,9999,99999.99,25,0,65,90,0,15,0,420,30,0,0,0,795,0,0,0,0
